PDFファイル,ページ番号,画像ファイル,x0,y0,x1,y1
sample1.pdf,1,sample1_page1_img0.png,85.05007934570312,367.2237548828125,510.2500915527344,650.6737670898438
sample1.pdf,2,sample1_page2_img0.png,85.05007934570312,1158.9689636230469,510.2500915527344,1375.3689575195312
sample1.pdf,3,sample1_page3_img0.png,85.05007934570312,1880.6895751953125,483.0500793457031,2200.6895751953125
sample1.pdf,4,sample1_page4_img0.png,85.05007934570312,2891.2086181640625,510.2500915527344,3051.7086181640625
sample1.pdf,4,sample1_page4_img1.png,85.05007934570312,3122.0083618164062,510.2500915527344,3280.6583862304688
sample1.pdf,5,sample1_page5_img0.png,85.05007934570312,3765.5286254882812,510.2500915527344,3955.2286376953125
sample1.pdf,6,sample1_page6_img0.png,85.05007934570312,4431.849426269531,478.0500793457031,4738.849426269531
sample1.pdf,7,sample1_page7_img0.png,85.05007934570312,5466.5435791015625,510.2500915527344,5749.993591308594
sample2.pdf,1,sample2_page1_img0.png,85.05007934570312,288.02484130859375,510.2500915527344,571.474853515625
sample2.pdf,2,sample2_page2_img0.png,85.05007934570312,1139.5945739746094,510.2500915527344,1493.944580078125
sample2.pdf,3,sample2_page3_img0.png,85.05007934570312,2065.8143310546875,509.8000793457031,2363.1492309570312
sample2.pdf,4,sample2_page4_img0.png,85.05007934570312,2866.1844177246094,510.2500915527344,3163.8344116210938
sample3.pdf,1,sample3_page1_img0.png,85.05007934570312,140.25,315.9961853027344,274.0
sample3.pdf,1,sample3_page1_img1.png,316.10009765625,321.7499694824219,510.2500915527344,416.732177734375
sample3.pdf,1,sample3_page1_img2.png,174.14990234375,485.75,420.9999084472656,684.75
sample4.pdf,1,sample4_page1_img0.png,85.05007934570312,263.52508544921875,510.2500915527344,546.97509765625
sample4.pdf,2,sample4_page2_img0.png,85.05007934570312,947.6699829101562,252.05007934570312,1114.6699829101562
sample4.pdf,2,sample4_page2_img1.png,85.05007934570312,1159.1699829101562,510.2500915527344,1442.9199829101562
sample4.pdf,3,sample4_page3_img0.png,85.05007934570312,1785.4901428222656,510.2500915527344,2068.690155029297
